NAME (as in repos),DESCRIPTION
i3-gaps,window manager
xorg-server,graphical server
xorg-xinit,starts the graphical server
xorg-xwininfo,querying window info
xorg-xprop,detects window properties
xorg-xinput,configure and test X input devices (mouse etc.)
arandr,GUI for screen adjustments
xcompmgr,lite compositor (NOT USED)
compton, compositor forked from xcompmgr
xwallpaper,sets wallpapers
ttf-liberation,font package
libnotify,for desktop notifications
dunst,notication server
ffmpeg,terminal video editor
networkmanager,
network-manager-applet,
pulseaudio,
pulseaudio-alsa,
pulsemixer,
volumeicon,volume tray controler 
htop,
redshift,
unzip,
gxkb,keyboard language switcher tray
ntfs-3g,for reading ntfw partitions
lxappearance,gui app for theme changes
i3lock,locks the screen for i3
xautolock, locks the screen when inactive
scrot,screenshot taking (NOT USED)
polkit-gnome,authentication window
xcursor-breeze,cursor theme (AUR)
thunar,file manager
ranger,terminal file manager
viewnior,image viewer
lib32-gcc-libs,some wine dependancy
transmission-cli,torrent client daemon
tremc,text interface for transmission
zathura,minimalist pdf viewer
bc,bash calculator
xclip,allows for copying and pasting from the command line
